Assembly	K|Best match locus	K|Match confidence	K|Coverage	K|Identity	OC|Best match locus	OC|Match confidence	OC|Coverage	OC|Identity
GCF_009753995.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863935.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862855.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005863355.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005863395.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005863415.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005863305.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495285.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495325.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495465.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900494905.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495245.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001624975.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_000810645.3	KL2	None	85.38%	100.00%	OCL1	Good	100.00%	98.11%
GCF_000811765.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809745.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515815.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003941195.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900494945.1	KL2	Good	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_900495035.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_009760015.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760455.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760285.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760445.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760245.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760175.1	KL40	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_009760165.1	KL40	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760705.1	KL4	Very high	100.00%	99.36%	OCL1	Very high	100.00%	98.12%
GCF_009760775.1	KL4	Very high	100.00%	99.36%	OCL1	Very high	100.00%	98.12%
GCF_004378295.1	KL9	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_004378545.1	KL9	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_003020445.1	KL49	Very high	100.00%	99.98%	OCL1	Very high	100.00%	98.11%
GCF_009736485.1	KL49	Very high	100.00%	99.98%	OCL1	Good	100.00%	98.12%
GCF_001910675.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_001910595.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003347385.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003347395.1	KL9	Very high	100.00%	98.78%	OCL1	Very high	100.00%	98.12%
GCF_900495065.1	KL49	Good	100.00%	99.45%	OCL1	Very high	100.00%	98.12%
GCF_017897365.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_900494925.1	KL49	Good	100.00%	99.45%	OCL1	Very high	100.00%	98.12%
Aci02	KL9	Very high	100.00%	98.58%	OCL1	Very high	100.00%	98.12%
GCF_000302075.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003072095.1	KL2	Good	99.66%	100.00%	OCL1	Good	100.00%	98.11%
GCF_001415735.1	KL2	None	92.60%	99.95%	OCL1	Good	98.97%	98.12%
GCF_000453345.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003948585.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000453385.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950675.1	KL2	Good	97.56%	99.96%	OCL1	Good	100.00%	98.11%
GCF_002950975.1	KL2	Good	95.23%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_003948145.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000939405.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515915.1	KL2	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_000516035.1	KL2	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_003947865.1	KL2	Good	96.90%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009736745.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809645.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001669355.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515455.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515635.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001541455.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000804825.1	KL2	High	99.72%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000805275.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000804975.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_013618785.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.11%
GCF_013618835.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.11%
GCF_002277315.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001861975.1	KL2	Very high	100.00%	99.92%	OCL1	Very high	100.00%	98.12%
GCF_000589695.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000301275.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003843745.1	KL2	High	100.00%	99.98%	OCL1	Good	100.00%	98.11%
GCF_001415535.1	KL2	Good	99.78%	100.00%	OCL1	Good	100.00%	98.12%
GCF_001416095.1	KL2	Good	99.94%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000301595.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000516195.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001052325.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000453545.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001863855.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_006937725.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_007113705.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_014560615.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000278685.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000681835.1	KL2	Very high	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_000966525.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003336155.1	KL2	Very high	99.92%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_005819325.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000966495.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_011683375.1	KL22	None	79.82%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_011683335.1	KL22	None	79.82%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_003007215.1	KL22	None	79.93%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_002277675.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_014561095.1	KL7	Very high	100.00%	99.47%	OCL1	Very high	100.00%	98.12%
GCF_001863225.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_014560065.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_007999425.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999375.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999155.1	KL3	Very high	100.00%	98.83%	OCL1	Good	100.00%	98.12%
GCF_007999365.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999345.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999075.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999055.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007999045.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008000235.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_016745695.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_016745975.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005048905.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014560515.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002212705.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900117405.1	KL3	Good	95.78%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_007197865.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003357045.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992235.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992465.1	KL3	Good	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_002992765.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.09%
GCF_002992325.1	KL3	High	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_002992745.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_004378525.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_004378435.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017600995.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_011683395.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_011683365.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830985.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830835.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830905.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020385.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862875.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_009753685.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020275.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020285.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020455.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005786085.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900496785.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900496875.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001704685.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013140305.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_009759995.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005784795.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_011603535.1	KL31	None	87.12%	92.65%	OCL1	Very high	100.00%	98.12%
GCF_002992625.1	KL22	Good	100.00%	97.50%	OCL1	Very high	100.00%	98.09%
GCF_003941795.1	KL2	None	97.73%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900496355.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_010179585.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900494885.1	KL2	Very high	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_900495215.1	KL2	Very high	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_000809785.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_011683425.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683575.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683505.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683485.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683475.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683465.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683455.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683355.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_011683605.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_003355965.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003355995.1	KL3	Very high	99.82%	98.82%	OCL1	Very high	99.38%	98.11%
GCF_002212325.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007713655.1	KL3	Good	96.64%	98.89%	OCL1	Good	98.41%	98.07%
GCF_005863455.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003355785.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	97.49%
GCF_003356605.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_003356535.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.05%
GCF_014560755.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
Aci11	KL120	Very high	100.00%	98.63%	OCL1	Very high	100.00%	98.12%
GCF_901669935.1	KL3	High	100.00%	98.80%	OCL1	Very high	100.00%	98.12%
GCF_003355945.1	KL3	High	99.56%	98.77%	OCL1	Very high	100.00%	98.12%
GCF_002992715.1	KL3	Good	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_003007535.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013618715.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863085.1	KL3	High	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_009758295.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_009753855.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992525.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_002992775.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992545.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_007113845.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014560495.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_015694565.1	KL3	High	100.00%	98.81%	OCL1	Very high	100.00%	98.12%
GCF_003007455.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005785305.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495845.1	KL3	Very high	100.00%	98.83%	OCL1	Good	100.00%	98.12%
GCF_001910685.1	KL3	Good	100.00%	98.81%	OCL1	Very high	100.00%	98.12%
GCF_003347355.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003039275.1	KL9	Good	100.00%	98.78%	OCL1	Very high	100.00%	98.12%
GCF_005785965.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_003941185.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003941515.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002261505.1	KL3	None	95.46%	98.79%	OCL1	Good	98.96%	98.09%
GCF_003356045.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	97.49%
GCF_002992805.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_003941615.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830805.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_007113625.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005784585.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017349005.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830995.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830955.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830855.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830795.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008830785.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008806485.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_008806475.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017349195.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862565.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863665.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862715.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005785465.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005786535.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001910605.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001910665.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001910615.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003039005.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863205.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001910585.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900496835.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020485.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003020505.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013140355.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003039475.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003347325.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003347305.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003039035.1	KL9	Very high	100.00%	98.79%	OCL1	Very high	100.00%	98.12%
GCF_003039375.1	KL9	Very high	100.00%	98.78%	OCL1	Very high	100.00%	98.12%
GCF_900494395.1	KL49	Good	100.00%	99.45%	OCL1	Very high	100.00%	98.12%
GCF_900494825.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_900495175.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_005819175.1	KL32	Very high	100.00%	99.13%	OCL1	Very high	100.00%	98.12%
GCF_900495375.1	KL6	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_005786285.1	KL32	Low	99.97%	99.09%	OCL1	Good	100.00%	98.12%
GCF_005786315.1	KL32	Low	99.97%	99.09%	OCL1	Good	100.00%	98.12%
GCF_001939605.1	KL12	Very high	100.00%	99.92%	OCL1	Very high	100.00%	98.12%
GCF_010179295.1	KL12	Very high	100.00%	99.92%	OCL1	Very high	100.00%	98.12%
GCF_010500255.1	KL120	Very high	100.00%	98.84%	OCL1	Very high	100.00%	98.12%
GCF_005785125.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_005785545.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900494805.1	KL2	Very high	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_000808925.3	KL2	Low	91.47%	99.96%	OCL1	Good	99.92%	98.12%
GCF_000809005.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000810245.3	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000809215.3	KL2	Very high	100.00%	100.00%	OCL1	Good	99.86%	98.11%
GCF_002948475.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001531205.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000302195.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000453845.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001433045.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001666475.1	KL2	Very high	100.00%	100.00%	OCL1	High	100.00%	98.06%
GCF_001680305.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_001541795.1	KL2	Good	98.43%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_015627295.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_015627265.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001541775.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000810585.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000186645.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003948095.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000805125.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001415275.1	KL22	None	95.56%	99.67%	OCL1	Good	99.64%	98.11%
GCF_014560405.1	KL22	None	79.93%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_001862555.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001863065.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_001951035.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809685.3	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000809985.3	KL2	Good	99.99%	100.00%	OCL1	Good	97.18%	98.11%
GCF_000810185.3	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000808905.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009760525.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_900496305.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900496635.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.11%
GCF_900494965.1	KL2	Very high	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_001669505.1	KL124	None	75.29%	88.60%	OCL1	Very high	100.00%	98.12%
GCF_002950825.1	KL2	Good	99.66%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001416225.1	KL2	None	98.27%	100.00%	OCL1	Good	99.99%	98.14%
GCF_004377785.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001415765.1	KL2	None	98.86%	99.99%	OCL1	Good	100.00%	98.12%
GCF_000301215.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000804795.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001950165.1	KL2	Low	92.29%	99.99%	OCL1	Good	99.90%	98.09%
GCF_015627365.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001862385.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000515615.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_016654225.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.11%
GCF_000301495.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809545.3	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_015356165.1	KL2	Good	99.86%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000787335.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000787315.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000804815.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.11%
GCF_001661665.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002082645.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_004378395.1	KL7	Very high	100.00%	99.54%	OCL1	Good	99.99%	98.11%
GCF_004378505.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.11%
GCF_002277355.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_001617885.1	KL90	Good	99.73%	96.20%	OCL1	Very high	100.00%	98.12%
GCF_007999855.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999885.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999805.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999705.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999665.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007113875.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999955.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_005785555.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
