assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	strain	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_002239865.1	PRJNA224116	SAMN07203010	NIUL00000000.1	na	470	470	Acinetobacter baumannii	SIUA14		latest	Contig	Major	Full	2017/08/02	ASM223986v1	JCVI	GCA_002239865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/239/865/GCF_002239865.1_ASM223986v1			na
GCF_002239885.1	PRJNA224116	SAMN07203008	NIUN00000000.1	na	470	470	Acinetobacter baumannii	SIPA14		latest	Contig	Major	Full	2017/08/02	ASM223988v1	JCVI	GCA_002239885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/239/885/GCF_002239885.1_ASM223988v1			na
GCF_002241095.1	PRJNA224116	SAMN04924781	LXNF00000000.1	na	470	470	Acinetobacter baumannii	AB254		latest	Contig	Major	Full	2017/08/04	ASM224109v1	Umm Al-Qura University	GCA_002241095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/241/095/GCF_002241095.1_ASM224109v1			na
GCF_002241105.1	PRJNA224116	SAMN04924780	LXNE00000000.1	na	470	470	Acinetobacter baumannii	AB252		latest	Contig	Major	Full	2017/08/04	ASM224110v1	Umm Al-Qura University	GCA_002241105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/241/105/GCF_002241105.1_ASM224110v1			na
GCF_002245595.1	PRJNA224116	SAMN07257378	NKKO00000000.1	na	470	470	Acinetobacter baumannii	13		latest	Scaffold	Major	Full	2017/08/10	ASM224559v1	Universidade Federal de Uberlandia	GCA_002245595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/245/595/GCF_002245595.1_ASM224559v1			na
GCF_002245665.1	PRJNA224116	SAMN07286190	NKKP00000000.1	na	470	470	Acinetobacter baumannii	15		latest	Scaffold	Major	Full	2017/08/10	ASM224566v1	Universidade Federal de Uberlandia	GCA_002245665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/245/665/GCF_002245665.1_ASM224566v1			na
GCF_002249135.1	PRJNA224116	SAMN07450689	NQEQ00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH03		latest	Contig	Major	Full	2017/08/11	ASM224913v1	JCVI	GCA_002249135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/135/GCF_002249135.1_ASM224913v1			na
GCF_002249185.1	PRJNA224116	SAMN07450688	NQER00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH04		latest	Contig	Major	Full	2017/08/11	ASM224918v1	JCVI	GCA_002249185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/185/GCF_002249185.1_ASM224918v1			na
GCF_002249225.1	PRJNA224116	SAMN07450685	NQEU00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH07		latest	Contig	Major	Full	2017/08/11	ASM224922v1	JCVI	GCA_002249225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/225/GCF_002249225.1_ASM224922v1			na
GCF_002249245.1	PRJNA224116	SAMN07450687	NQES00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH05		latest	Contig	Major	Full	2017/08/11	ASM224924v1	JCVI	GCA_002249245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/245/GCF_002249245.1_ASM224924v1			na
GCF_002249255.1	PRJNA224116	SAMN07450683	NQEW00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH09		latest	Contig	Major	Full	2017/08/11	ASM224925v1	JCVI	GCA_002249255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/255/GCF_002249255.1_ASM224925v1			na
GCF_002249265.1	PRJNA224116	SAMN07450686	NQET00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH06		latest	Contig	Major	Full	2017/08/11	ASM224926v1	JCVI	GCA_002249265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/265/GCF_002249265.1_ASM224926v1			na
GCF_002249305.1	PRJNA224116	SAMN07450598	NQEX00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH10		latest	Contig	Major	Full	2017/08/11	ASM224930v1	JCVI	GCA_002249305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/305/GCF_002249305.1_ASM224930v1			na
GCF_002249325.1	PRJNA224116	SAMN07450596	NQEZ00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH12		latest	Contig	Major	Full	2017/08/11	ASM224932v1	JCVI	GCA_002249325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/325/GCF_002249325.1_ASM224932v1			na
GCF_002249335.1	PRJNA224116	SAMN07450595	NQFA00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH04		latest	Contig	Major	Full	2017/08/11	ASM224933v1	JCVI	GCA_002249335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/335/GCF_002249335.1_ASM224933v1			na
GCF_002249365.1	PRJNA224116	SAMN07450594	NQFB00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH05		latest	Contig	Major	Full	2017/08/11	ASM224936v1	JCVI	GCA_002249365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/365/GCF_002249365.1_ASM224936v1			na
GCF_002249385.1	PRJNA224116	SAMN07450722	NQFD00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH07		latest	Contig	Major	Full	2017/08/11	ASM224938v1	JCVI	GCA_002249385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/385/GCF_002249385.1_ASM224938v1			na
GCF_002249405.1	PRJNA224116	SAMN07450720	NQFF00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH09		latest	Contig	Major	Full	2017/08/11	ASM224940v1	JCVI	GCA_002249405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/405/GCF_002249405.1_ASM224940v1			na
GCF_002249425.1	PRJNA224116	SAMN07450721	NQFE00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH08		latest	Contig	Major	Full	2017/08/11	ASM224942v1	JCVI	GCA_002249425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/425/GCF_002249425.1_ASM224942v1			na
GCF_002249435.1	PRJNA224116	SAMN07450719	NQFG00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH10		latest	Contig	Major	Full	2017/08/11	ASM224943v1	JCVI	GCA_002249435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/435/GCF_002249435.1_ASM224943v1			na
GCF_002249465.1	PRJNA224116	SAMN07450717	NQFI00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH12		latest	Contig	Major	Full	2017/08/11	ASM224946v1	JCVI	GCA_002249465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/465/GCF_002249465.1_ASM224946v1			na
GCF_002249475.1	PRJNA224116	SAMN07450716	NQFJ00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH13		latest	Contig	Major	Full	2017/08/11	ASM224947v1	JCVI	GCA_002249475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/475/GCF_002249475.1_ASM224947v1			na
GCF_002249505.1	PRJNA224116	SAMN07450715	NQFK00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH14		latest	Contig	Major	Full	2017/08/11	ASM224950v1	JCVI	GCA_002249505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/505/GCF_002249505.1_ASM224950v1			na
GCF_002249525.1	PRJNA224116	SAMN07450714	NQFL00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH15		latest	Contig	Major	Full	2017/08/11	ASM224952v1	JCVI	GCA_002249525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/525/GCF_002249525.1_ASM224952v1			na
GCF_002249545.1	PRJNA224116	SAMN07450684	NQEV00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH08		latest	Contig	Major	Full	2017/08/11	ASM224954v1	JCVI	GCA_002249545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/545/GCF_002249545.1_ASM224954v1			na
GCF_002249585.1	PRJNA224116	SAMN07450597	NQEY00000000.1	na	470	470	Acinetobacter baumannii	ABCRPSTH11		latest	Contig	Major	Full	2017/08/11	ASM224958v1	JCVI	GCA_002249585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/585/GCF_002249585.1_ASM224958v1			na
GCF_002249605.1	PRJNA224116	SAMN07450718	NQFH00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH11		latest	Contig	Major	Full	2017/08/11	ASM224960v1	JCVI	GCA_002249605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/605/GCF_002249605.1_ASM224960v1			na
GCF_002249655.1	PRJNA224116	SAMN07450593	NQFC00000000.1	na	470	470	Acinetobacter baumannii	ABCRPUTH06		latest	Contig	Major	Full	2017/08/11	ASM224965v1	JCVI	GCA_002249655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/249/655/GCF_002249655.1_ASM224965v1			na
GCF_002250465.1	PRJNA224116	SAMN07269295	NLCO00000000.1	na	470	470	Acinetobacter baumannii	CCBH15815		latest	Contig	Major	Full	2017/08/14	ASM225046v1	Instituto Oswaldo Cruz	GCA_002250465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/250/465/GCF_002250465.1_ASM225046v1			na
GCF_002261505.1	PRJNA224116	SAMN07311916	NKXQ00000000.1	na	470	470	Acinetobacter baumannii	554L		latest	Contig	Major	Full	2017/08/21	ASM226150v1	IHU Mediteranee Infection	GCA_002261505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/261/505/GCF_002261505.1_ASM226150v1			na
GCF_002261535.1	PRJNA224116	SAMN07311763	NKXP00000000.1	na	470	470	Acinetobacter baumannii	554S		latest	Contig	Major	Full	2017/08/21	ASM226153v1	IHU Mediteranee Infection	GCA_002261535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/261/535/GCF_002261535.1_ASM226153v1			na
GCF_002265555.1	PRJNA224116	SAMN07411957	NOXP00000000.1	na	470	470	Acinetobacter baumannii	DR1		latest	Contig	Major	Full	2017/08/22	ASM226555v1	CSIR-IMTECH	GCA_002265555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/265/555/GCF_002265555.1_ASM226555v1			na
GCF_002265675.1	PRJNA224116	SAMN07411958	NOXO00000000.1	na	470	470	Acinetobacter baumannii	DR2		latest	Contig	Major	Full	2017/08/22	ASM226567v1	CSIR-IMTECH	GCA_002265675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/265/675/GCF_002265675.1_ASM226567v1			na
GCF_002277145.1	PRJNA224116	SAMN07251729	NKJL00000000.1	na	470	470	Acinetobacter baumannii	AB173		latest	Scaffold	Major	Full	2017/08/29	ASM227714v1	Hangzhou First People's Hospital	GCA_002277145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/145/GCF_002277145.1_ASM227714v1			na
GCF_002277175.1	PRJNA224116	SAMN07251728	NKJM00000000.1	na	470	470	Acinetobacter baumannii	AB172		latest	Scaffold	Major	Full	2017/08/29	ASM227717v1	Hangzhou First People's Hospital	GCA_002277175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/175/GCF_002277175.1_ASM227717v1			na
GCF_002277185.1	PRJNA224116	SAMN07251726	NKJO00000000.1	na	470	470	Acinetobacter baumannii	AB165		latest	Scaffold	Major	Full	2017/08/29	ASM227718v1	Hangzhou First People's Hospital	GCA_002277185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/185/GCF_002277185.1_ASM227718v1			na
GCF_002277215.1	PRJNA224116	SAMN07251725	NKJP00000000.1	na	470	470	Acinetobacter baumannii	AB162		latest	Scaffold	Major	Full	2017/08/29	ASM227721v1	Hangzhou First People's Hospital	GCA_002277215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/215/GCF_002277215.1_ASM227721v1			na
GCF_002277225.1	PRJNA224116	SAMN07251724	NKJQ00000000.1	na	470	470	Acinetobacter baumannii	AB161		latest	Scaffold	Major	Full	2017/08/29	ASM227722v1	Hangzhou First People's Hospital	GCA_002277225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/225/GCF_002277225.1_ASM227722v1			na
GCF_002277235.1	PRJNA224116	SAMN07251722	NKJS00000000.1	na	470	470	Acinetobacter baumannii	AB147		latest	Scaffold	Major	Full	2017/08/29	ASM227723v1	Hangzhou First People's Hospital	GCA_002277235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/235/GCF_002277235.1_ASM227723v1			na
GCF_002277275.1	PRJNA224116	SAMN07251721	NKJT00000000.1	na	470	470	Acinetobacter baumannii	AB134		latest	Scaffold	Major	Full	2017/08/29	ASM227727v1	Hangzhou First People's Hospital	GCA_002277275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/275/GCF_002277275.1_ASM227727v1			na
GCF_002277285.1	PRJNA224116	SAMN07251719	NKJV00000000.1	na	470	470	Acinetobacter baumannii	AB112		latest	Scaffold	Major	Full	2017/08/29	ASM227728v1	Hangzhou First People's Hospital	GCA_002277285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/285/GCF_002277285.1_ASM227728v1			na
GCF_002277315.1	PRJNA224116	SAMN07251720	NKJU00000000.1	na	470	470	Acinetobacter baumannii	AB118		latest	Scaffold	Major	Full	2017/08/29	ASM227731v1	Hangzhou First People's Hospital	GCA_002277315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/315/GCF_002277315.1_ASM227731v1			na
GCF_002277325.1	PRJNA224116	SAMN07251718	NKJW00000000.1	na	470	470	Acinetobacter baumannii	AB108		latest	Scaffold	Major	Full	2017/08/29	ASM227732v1	Hangzhou First People's Hospital	GCA_002277325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/325/GCF_002277325.1_ASM227732v1			na
GCF_002277355.1	PRJNA224116	SAMN07251716	NKJY00000000.1	na	470	470	Acinetobacter baumannii	AB100		latest	Scaffold	Major	Full	2017/08/29	ASM227735v1	Hangzhou First People's Hospital	GCA_002277355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/355/GCF_002277355.1_ASM227735v1			na
GCF_002277365.1	PRJNA224116	SAMN07251715	NKJZ00000000.1	na	470	470	Acinetobacter baumannii	AB99		latest	Scaffold	Major	Full	2017/08/29	ASM227736v1	Hangzhou First People's Hospital	GCA_002277365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/365/GCF_002277365.1_ASM227736v1			na
GCF_002277385.1	PRJNA224116	SAMN07251713	NKKB00000000.1	na	470	470	Acinetobacter baumannii	AB91		latest	Scaffold	Major	Full	2017/08/29	ASM227738v1	Hangzhou First People's Hospital	GCA_002277385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/385/GCF_002277385.1_ASM227738v1			na
GCF_002277405.1	PRJNA224116	SAMN07251714	NKKA00000000.1	na	470	470	Acinetobacter baumannii	AB96		latest	Scaffold	Major	Full	2017/08/29	ASM227740v1	Hangzhou First People's Hospital	GCA_002277405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/405/GCF_002277405.1_ASM227740v1			na
GCF_002277435.1	PRJNA224116	SAMN07251712	NKKC00000000.1	na	470	470	Acinetobacter baumannii	AB89		latest	Scaffold	Major	Full	2017/08/29	ASM227743v1	Hangzhou First People's Hospital	GCA_002277435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/435/GCF_002277435.1_ASM227743v1			na
GCF_002277445.1	PRJNA224116	SAMN07251711	NKKD00000000.1	na	470	470	Acinetobacter baumannii	AB88		latest	Scaffold	Major	Full	2017/08/29	ASM227744v1	Hangzhou First People's Hospital	GCA_002277445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/445/GCF_002277445.1_ASM227744v1			na
GCF_002277485.1	PRJNA224116	SAMN07251704	NKKK00000000.1	na	470	470	Acinetobacter baumannii	AB56		latest	Scaffold	Major	Full	2017/08/29	ASM227748v1	Hangzhou First People's Hospital	GCA_002277485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/485/GCF_002277485.1_ASM227748v1			na
GCF_002277505.1	PRJNA224116	SAMN07251703	NKKL00000000.1	na	470	470	Acinetobacter baumannii	AB54		latest	Scaffold	Major	Full	2017/08/29	ASM227750v1	Hangzhou First People's Hospital	GCA_002277505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/505/GCF_002277505.1_ASM227750v1			na
GCF_002277515.1	PRJNA224116	SAMN07251701	NKKN00000000.1	na	470	470	Acinetobacter baumannii	AB46		latest	Scaffold	Major	Full	2017/08/29	ASM227751v1	Hangzhou First People's Hospital	GCA_002277515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/515/GCF_002277515.1_ASM227751v1			na
GCF_002277535.1	PRJNA224116	SAMN07251730	NKJK00000000.1	na	470	470	Acinetobacter baumannii	AB174		latest	Scaffold	Major	Full	2017/08/29	ASM227753v1	Hangzhou First People's Hospital	GCA_002277535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/535/GCF_002277535.1_ASM227753v1			na
GCF_002277585.1	PRJNA224116	SAMN07251723	NKJR00000000.1	na	470	470	Acinetobacter baumannii	AB156		latest	Scaffold	Major	Full	2017/08/29	ASM227758v1	Hangzhou First People's Hospital	GCA_002277585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/585/GCF_002277585.1_ASM227758v1			na
GCF_002277605.1	PRJNA224116	SAMN07251717	NKJX00000000.1	na	470	470	Acinetobacter baumannii	AB101		latest	Scaffold	Major	Full	2017/08/29	ASM227760v1	Hangzhou First People's Hospital	GCA_002277605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/605/GCF_002277605.1_ASM227760v1			na
GCF_002277635.1	PRJNA224116	SAMN07251710	NKKE00000000.1	na	470	470	Acinetobacter baumannii	AB81		latest	Scaffold	Major	Full	2017/08/29	ASM227763v1	Hangzhou First People's Hospital	GCA_002277635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/635/GCF_002277635.1_ASM227763v1			na
GCF_002277655.1	PRJNA224116	SAMN07251707	NKKH00000000.1	na	470	470	Acinetobacter baumannii	AB74		latest	Scaffold	Major	Full	2017/08/29	ASM227765v1	Hangzhou First People's Hospital	GCA_002277655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/655/GCF_002277655.1_ASM227765v1			na
GCF_002277675.1	PRJNA224116	SAMN07251706	NKKI00000000.1	na	470	470	Acinetobacter baumannii	AB73		latest	Scaffold	Major	Full	2017/08/29	ASM227767v1	Hangzhou First People's Hospital	GCA_002277675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/675/GCF_002277675.1_ASM227767v1			na
GCF_002277705.1	PRJNA224116	SAMN07251705	NKKJ00000000.1	na	470	470	Acinetobacter baumannii	AB72		latest	Scaffold	Major	Full	2017/08/29	ASM227770v1	Hangzhou First People's Hospital	GCA_002277705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/705/GCF_002277705.1_ASM227770v1			na
GCF_002277715.1	PRJNA224116	SAMN07251702	NKKM00000000.1	na	470	470	Acinetobacter baumannii	AB52		latest	Scaffold	Major	Full	2017/08/29	ASM227771v1	Hangzhou First People's Hospital	GCA_002277715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/277/715/GCF_002277715.1_ASM227771v1			na
GCF_002288625.1	PRJNA224116	SAMN07551566	NRSX00000000.1	na	470	470	Acinetobacter baumannii	460		latest	Scaffold	Major	Full	2017/09/08	ASM228862v1	Universite de Lome	GCA_002288625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/625/GCF_002288625.1_ASM228862v1			na
GCF_002367895.1	PRJNA224116	SAMN07673494	NWUK00000000.1	na	470	470	Acinetobacter baumannii	IHIT32296		latest	Contig	Major	Full	2017/09/26	ASM236789v1	Robert Koch Institute	GCA_002367895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/367/895/GCF_002367895.1_ASM236789v1			na
GCF_002411775.1	PRJNA224116	SAMN07692765	NXHM00000000.1	na	470	470	Acinetobacter baumannii	151		latest	Contig	Major	Full	2017/10/03	ASM241177v1	Norwegian National Advisory Unit on Detection of Antimicrobial Resistance	GCA_002411775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/411/775/GCF_002411775.1_ASM241177v1			na
GCF_002416325.1	PRJNA224116	SAMN04272863	LNUX00000000.1	na	470	470	Acinetobacter baumannii	AC003		latest	Contig	Major	Full	2017/10/03	ASM241632v1	Genomic Research Laboratory (GRL)	GCA_002416325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/325/GCF_002416325.1_ASM241632v1			na
GCF_002416345.1	PRJNA224116	SAMN04272864	LNUY00000000.1	na	470	470	Acinetobacter baumannii	AC001		latest	Contig	Major	Full	2017/10/03	ASM241634v1	Genomic Research Laboratory (GRL)	GCA_002416345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/345/GCF_002416345.1_ASM241634v1			na
GCF_002416365.1	PRJNA224116	SAMN04272866	LNVA00000000.1	na	470	470	Acinetobacter baumannii	AC003-2-R1		latest	Contig	Major	Full	2017/10/03	ASM241636v1	Genomic Research Laboratory (GRL)	GCA_002416365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/365/GCF_002416365.1_ASM241636v1			na
GCF_002416375.1	PRJNA224116	SAMN04272868	LNVC00000000.1	na	470	470	Acinetobacter baumannii	AC001-8-R1-S1		latest	Contig	Major	Full	2017/10/03	ASM241637v1	Genomic Research Laboratory (GRL)	GCA_002416375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/375/GCF_002416375.1_ASM241637v1			na
GCF_002416395.1	PRJNA224116	SAMN04272869	LNVD00000000.1	na	470	470	Acinetobacter baumannii	AC002-1-R4-S1		latest	Contig	Major	Full	2017/10/03	ASM241639v1	Genomic Research Laboratory (GRL)	GCA_002416395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/395/GCF_002416395.1_ASM241639v1			na
GCF_002416425.1	PRJNA224116	SAMN04272870	LNVE00000000.1	na	470	470	Acinetobacter baumannii	AC002-1-R4		latest	Contig	Major	Full	2017/10/11	ASM241642v1	Genomic Research Laboratory (GRL)	GCA_002416425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/425/GCF_002416425.1_ASM241642v1			na
GCF_002416435.1	PRJNA224116	SAMN04272865	LNUZ00000000.1	na	470	470	Acinetobacter baumannii	AC002		latest	Contig	Major	Full	2017/10/03	ASM241643v1	Genomic Research Laboratory (GRL)	GCA_002416435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/435/GCF_002416435.1_ASM241643v1			na
GCF_002416475.1	PRJNA224116	SAMN04272867	LNVB00000000.1	na	470	470	Acinetobacter baumannii	AC001-8-R1		latest	Contig	Major	Full	2017/10/03	ASM241647v1	Genomic Research Laboratory (GRL)	GCA_002416475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/416/475/GCF_002416475.1_ASM241647v1			na
GCF_002504145.1	PRJNA224116	SAMN06099024		na	470	470	Acinetobacter baumannii	A1296	A1296	latest	Complete Genome	Major	Full	2017/10/10	ASM250414v1	Zhejiang University	GCA_002504145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/145/GCF_002504145.1_ASM250414v1			na
GCF_002573725.1	PRJNA224116	SAMN07236630	NIWJ00000000.1	na	470	470	Acinetobacter baumannii	151/1C		latest	Contig	Major	Full	2017/10/17	ASM257372v1	Robert Koch Institute	GCA_002573725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/725/GCF_002573725.1_ASM257372v1			na
GCF_002573735.1	PRJNA224116	SAMN07236631	NIWK00000000.1	na	470	470	Acinetobacter baumannii	29R1		latest	Contig	Major	Full	2017/10/17	ASM257373v1	Robert Koch Institute	GCA_002573735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/735/GCF_002573735.1_ASM257373v1			na
GCF_002573795.1	PRJNA224116	SAMN07236641	NIWO00000000.1	na	470	470	Acinetobacter baumannii	GB1-2		latest	Scaffold	Major	Full	2017/10/17	ASM257379v1	Robert Koch Institute	GCA_002573795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/795/GCF_002573795.1_ASM257379v1			na
GCF_002573805.1	PRJNA224116	SAMN07236635	NIWN00000000.1	na	470	470	Acinetobacter baumannii	BAuABod-3		latest	Contig	Major	Full	2017/10/17	ASM257380v1	Robert Koch Institute	GCA_002573805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/805/GCF_002573805.1_ASM257380v1			na
GCF_002573815.1	PRJNA224116	SAMN07236642	NIWP00000000.1	na	470	470	Acinetobacter baumannii	LoGeIst3-1		latest	Scaffold	Major	Full	2017/10/17	ASM257381v1	Robert Koch Institute	GCA_002573815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/815/GCF_002573815.1_ASM257381v1			na
GCF_002573825.1	PRJNA224116	SAMN07236643	NIWQ00000000.1	na	470	470	Acinetobacter baumannii	O1D3-2		latest	Contig	Major	Full	2017/10/17	ASM257382v1	Robert Koch Institute	GCA_002573825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/825/GCF_002573825.1_ASM257382v1			na
GCF_002573875.1	PRJNA224116	SAMN07236648	NIWR00000000.1	na	470	470	Acinetobacter baumannii	PLG9P835		latest	Contig	Major	Full	2017/10/17	ASM257387v1	Robert Koch Institute	GCA_002573875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/875/GCF_002573875.1_ASM257387v1			na
GCF_002573895.1	PRJNA224116	SAMN07236629	NIWI00000000.1	na	470	470	Acinetobacter baumannii	86II/2C		latest	Contig	Major	Full	2017/10/17	ASM257389v1	Robert Koch Institute	GCA_002573895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/573/895/GCF_002573895.1_ASM257389v1			na
